"passID";"passTime";"stationID";"vehicleID";"charge"
"AAY5347662";"2022-03-03 03:58:00";"EG10";"XE59BZM26378";2.5
"AAY9115739";"2020-10-29 07:20:00";"KO09";"QO77TFN61853";2.2
"ABA1853131";"2020-05-04 07:08:00";"OO05";"JF94VYA88954";2.8
"ABA2292690";"2022-10-08 04:13:00";"KO06";"QW79CHL42244";2.8
"ABA5534914";"2019-10-23 05:39:00";"KO06";"RV87TIY76692";2.5
"ABA6937036";"2021-04-07 15:53:00";"KO08";"QO77TFN61853";2.2
"ABB1565284";"2020-02-13 00:49:00";"NE03";"PF04UCA93312";3.1
"ABB2410121";"2019-12-06 07:02:00";"EG07";"QU94IGC75528";1.25
"ABB5267185";"2019-05-13 01:55:00";"NE14";"IA29IQS63679";1.0
"ABC1518584";"2022-07-09 00:20:00";"OO06";"AY38OQF67603";2.8
"ABC3460873";"2022-03-04 00:40:00";"AO04";"YL27IFD65117";2.0
"ABC4568069";"2021-11-09 07:46:00";"OO03";"VJ92OYV94295";2.5
"ABD0576018";"2019-07-04 22:13:00";"NE01";"FY47TUN40300";1.0
"ABE2129498";"2019-02-01 23:47:00";"AO14";"BZ76ROL87339";1.0
"ABE4483114";"2020-05-09 05:07:00";"OO12";"AY38OQF67603";2.8
"ABE5677803";"2019-12-04 18:57:00";"GF00";"BY85QGR11636";2.5
"ABE6088739";"2022-06-03 23:30:00";"MR08";"IZ65WAT29135";2.0
"ABE8697241";"2022-04-06 04:01:00";"KO08";"QW79CHL42244";2.8
"ABF5516149";"2019-02-12 03:28:00";"OO04";"QX75YWC61835";2.5
"ABG1389950";"2020-05-06 04:30:00";"EG08";"IW53OQE31439";2.8
"ABG4693844";"2022-06-02 18:57:00";"KO03";"IX01MVL33676";2.5
"ABG6628327";"2022-04-02 06:13:00";"AO13";"BM25PHF40639";13.0
"ABH2153358";"2023-05-05 21:33:00";"GF00";"UF84JOS00561";2.8
"ABI1071283";"2022-11-02 09:40:00";"GF00";"WU78BMX13511";1.0
"ABI1531074";"2020-05-04 20:34:00";"OO09";"QX75YWC61835";2.5
"ABJ4796674";"2022-11-02 12:10:00";"AO10";"OC94ASJ72024";1.0
"ABK5126294";"2021-08-08 13:16:00";"GF00";"UF84JOS00561";2.8
"ABK6798943";"2019-08-05 06:14:00";"MR06";"BI87HYL81972";1.0
"ABK9216863";"2020-07-07 21:51:00";"NE11";"PM58XHX45588";1.5
"ABL4219830";"2021-03-05 03:57:00";"AO06";"YL27IFD65117";2.0
"ABL9789849";"2022-03-05 06:24:00";"EG02";"BI87HYL81972";2.8
"ABM6970932";"2019-01-02 18:52:00";"EG06";"XE59BZM26378";2.5
"ABM6994009";"2023-05-09 23:18:00";"EG02";"IN99SEN20660";2.8
"ABN0569105";"2020-03-02 18:51:00";"EG02";"SU00RDZ36214";1.25
"ABN1023798";"2021-07-08 09:22:00";"OO09";"EE22TMX10817";2.0
"ABO0013939";"2019-01-06 05:43:00";"OO11";"RK48BOP88344";2.8
"ABO9877879";"2019-11-20 07:21:00";"AO11";"DV04FQL29609";2.8
"ABP7089232";"2020-10-07 09:31:00";"NE15";"IA29IQS63679";1.0
"ABP7369194";"2020-01-04 12:06:00";"GF00";"IO09FGE68100";2.8
"ABQ4403451";"2019-08-07 01:25:00";"OO04";"EE22TMX10817";2.0
"ABR1012068";"2023-01-02 17:50:00";"EG08";"IW53OQE31439";2.8
"ABR2133382";"2021-11-09 18:16:00";"AO03";"KB55KTM48860";2.8
"ABR4050416";"2020-11-04 04:32:00";"EG02";"XE59BZM26378";2.5
"ABR9448728";"2021-11-12 20:45:00";"OO07";"HW75BKT77773";2.5
"ABS8118945";"2019-04-10 20:19:00";"NE01";"EV77EDV52985";1.25
"ABS9056260";"2022-10-03 19:55:00";"NE09";"NZ35XLQ89678";1.5
"ABT8997804";"2019-09-06 04:28:00";"KO06";"ZY93PCY41868";1.5
"ABU7746760";"2023-02-04 10:37:00";"NE14";"EZ65FLV39493";1.0
"ABV1927265";"2022-01-05 07:25:00";"KO02";"QW79CHL42244";2.8
"ABV5378422";"2021-01-06 07:29:00";"KO03";"KB55KTM48860";2.5
"ABW5807630";"2023-07-05 15:35:00";"OO10";"QR03XCJ37459";2.8
"ABX1325948";"2021-06-05 14:13:00";"KO04";"WY00MLL63827";1.0
"ABX1604999";"2021-08-03 20:32:00";"KO07";"WY00MLL63827";1.0
"ABX7973469";"2022-02-09 14:15:00";"KO09";"EG95RTB75032";1.25
"ABX9895164";"2020-11-09 09:29:00";"NE03";"IA29IQS63679";1.0
"ABY6701240";"2021-04-05 17:01:00";"MR03";"EZ65FLV39493";2.8
"ABZ4126718";"2023-02-09 10:44:00";"OO11";"QR03XCJ37459";2.8
"ACA4552509";"2022-02-05 02:28:00";"KO03";"WY00MLL63827";1.0
"ACA8894795";"2019-09-06 21:44:00";"NE02";"JF94VYA88954";1.5
"ACB1469341";"2019-10-30 05:02:00";"AO17";"DV04FQL29609";3.1
"ACB5820643";"2021-04-01 07:59:00";"GF00";"KW50MJG67260";2.2
"ACB8830961";"2019-01-07 22:29:00";"OO08";"QX75YWC61835";3.1
"ACC5946788";"2021-02-05 15:27:00";"EG02";"IW53OQE31439";2.8
"ACC7024243";"2020-12-10 13:10:00";"AO09";"CK97FAU13897";2.8
"ACD3036547";"2020-05-12 14:08:00";"OO07";"FY47TUN40300";1.0
"ACE8114498";"2019-06-11 11:14:00";"EG11";"IW53OQE31439";2.8
"ACH3020761";"2021-05-04 19:41:00";"OO06";"VJ92OYV94295";2.5
"ACI7674011";"2020-11-19 01:59:00";"AO19";"OY94SZK34436";2.8
"ACI8730336";"2021-01-06 18:14:00";"EG05";"TE24LCO18661";1.25
"ACI9652165";"2020-08-09 22:23:00";"EG09";"TZ48CCW54765";3.1
"ACK2794866";"2020-09-01 10:37:00";"AO03";"YL27IFD65117";2.0
"ACK4670552";"2019-04-03 18:53:00";"NE04";"EV77EDV52985";1.0
"ACK7010490";"2020-08-08 07:15:00";"AO02";"LG64ARC91224";13.0
"ACM0710827";"2022-07-05 12:28:00";"NE15";"YX66XYW62640";2.0
"ACM2420906";"2022-05-08 02:02:00";"GF00";"WU78BMX13511";1.0
"ACO0203650";"2019-10-13 14:27:00";"GF00";"CK97FAU13897";2.5
"ACO6337781";"2020-03-04 03:26:00";"OO07";"EE22TMX10817";2.0
"ACQ6854296";"2020-11-19 19:36:00";"GF00";"JE65QJK64802";2.8
"ACQ8218863";"2020-11-07 05:37:00";"OO10";"LC72NRN52084";3.1
"ACR6471647";"2020-10-24 09:10:00";"GF00";"JE65QJK64802";2.8
"ACS0891156";"2022-11-08 15:32:00";"OO03";"EN26OAB52983";1.25
"ACS1096379";"2022-08-03 18:30:00";"AO03";"BM25PHF40639";13.0
"ACS5169614";"2021-08-04 17:05:00";"AO12";"OC94ASJ72024";1.0
"ACS7014053";"2021-07-05 00:42:00";"EG12";"HE38BQH01623";2.5
"ACT1999865";"2021-02-04 11:08:00";"GF00";"PF04UCA93312";3.1
"ACT5822102";"2021-02-06 16:24:00";"AO07";"PE73VJU23485";2.8
"ACT7333688";"2020-09-04 09:23:00";"KO07";"KB55KTM48860";2.5
"ACU1839776";"2021-11-03 13:46:00";"EG04";"QN23UHH39091";1.25
"ACU6011146";"2019-08-05 13:09:00";"AO17";"DP11ENT03275";3.1
"ACU9233593";"2021-10-11 08:58:00";"AO00";"BZ76ROL87339";1.0
"ACV2225373";"2020-02-07 19:08:00";"NE06";"PM58XHX45588";1.5
"ACV3526166";"2022-05-02 12:42:00";"EG04";"FL13UMN92207";2.8
"ACV4675477";"2021-03-08 23:40:00";"MR00";"KF48RSD79865";2.8
"ACV5921231";"2020-02-02 13:31:00";"NE16";"IA29IQS63679";1.0
"ACV6509176";"2020-02-06 14:34:00";"EG06";"MU06LHX94338";1.5
"ACV6589943";"2020-03-12 03:59:00";"MR07";"QN23UHH39091";2.8
"ACW0716022";"2020-11-28 06:41:00";"NE12";"RK48BOP88344";1.0
"ACW2708615";"2020-08-05 01:26:00";"GF00";"CK97FAU13897";2.5
"ACX4366401";"2021-08-02 14:49:00";"MR07";"KF48RSD79865";2.8
"ACX6999153";"2021-06-09 23:43:00";"OO00";"KW50MJG67260";2.2
"ACY2718109";"2019-05-11 17:45:00";"AO12";"HT62RDI04611";2.8
"ACY6052538";"2021-06-04 21:41:00";"AO03";"AT19HLV57173";2.8
"ACZ1267000";"2022-05-07 06:44:00";"KO04";"JD78PQD35395";1.0
"ADA2480244";"2020-12-27 20:37:00";"OO04";"IC95TLY24827";2.0
"ADA5403164";"2020-10-15 04:47:00";"OO10";"WY00MLL63827";2.5
"ADA9622558";"2019-04-08 16:29:00";"MR03";"HA82SCK64299";1.5
"ADB2407129";"2020-06-05 18:37:00";"AO00";"YL27IFD65117";2.0
"ADC1332811";"2021-03-04 11:07:00";"NE09";"IZ65WAT29135";2.0
"ADD0336172";"2021-06-01 05:27:00";"AO04";"KB55KTM48860";2.8
"ADD3758533";"2020-10-08 21:12:00";"MR06";"KF48RSD79865";1.5
"ADD7717422";"2020-11-07 11:47:00";"AO16";"HA82SCK64299";2.8
"ADD8543592";"2020-10-04 14:51:00";"NE05";"VX68BAR38623";1.5
"ADD9837931";"2023-06-08 21:02:00";"EG00";"EC02LZC49528";2.2
"ADE3320553";"2021-01-06 23:05:00";"EG03";"DW44ZOO26361";2.5
"ADE5618152";"2022-07-08 16:16:00";"NE04";"IA29IQS63679";1.0
"ADF2281449";"2023-02-05 21:48:00";"MR08";"XV91YMP27722";2.5
"ADF2615409";"2020-12-22 16:38:00";"NE00";"PD45WOT56494";2.0
"ADF8967725";"2020-04-04 10:15:00";"KO03";"QW79CHL42244";2.8
"ADH0486994";"2022-07-01 11:24:00";"OO01";"EC02LZC49528";1.0
"ADH1212379";"2021-01-07 07:41:00";"AO03";"OC94ASJ72024";1.0
"ADH2210922";"2023-03-01 13:08:00";"MR05";"IZ65WAT29135";2.0
"ADH7101117";"2020-12-24 03:38:00";"EG00";"TV81MAQ99005";2.8
"ADI0663721";"2021-12-01 21:02:00";"AO11";"DP11ENT03275";3.1
"ADI6124326";"2019-11-18 15:12:00";"EG04";"TE24LCO18661";1.25
"ADJ3279984";"2022-01-09 21:04:00";"OO12";"JF94VYA88954";2.8
"ADJ4000965";"2020-03-02 20:34:00";"OO05";"XV40HUQ04740";1.0
"ADJ8374825";"2019-11-14 11:13:00";"GF00";"WU78BMX13511";1.0
"ADK6623802";"2019-09-09 23:48:00";"AO05";"LG64ARC91224";13.0
"ADK8001607";"2019-02-01 02:22:00";"OO12";"EM54HQI58682";2.8
"ADK8021599";"2020-10-24 05:45:00";"GF00";"KW50MJG67260";2.2
"ADK8811016";"2019-11-06 03:43:00";"GF00";"UF84JOS00561";2.8
"ADL0330323";"2020-09-07 09:31:00";"NE11";"WG11QVY31890";1.0
"ADL1655446";"2020-05-09 19:56:00";"NE09";"EV77EDV52985";1.0
"ADL1668268";"2022-11-02 12:31:00";"AO18";"PF04UCA93312";2.8
"ADL3908882";"2021-10-16 01:44:00";"OO01";"AT19HLV57173";2.8
"ADL5635771";"2021-08-04 04:32:00";"MR04";"HE38BQH01623";2.8
"ADL8358777";"2021-11-15 03:59:00";"OO00";"IC95TLY24827";2.0
"ADM0983568";"2021-09-08 19:16:00";"KO06";"ZY93PCY41868";1.5
"ADM1680114";"2021-10-22 13:29:00";"EG09";"XV91YMP27722";2.5
"ADM7102077";"2022-03-03 13:58:00";"OO00";"NY14GZR94632";2.5
"ADN1069348";"2021-10-02 05:56:00";"OO10";"EE22TMX10817";2.0
"ADO2693082";"2021-01-04 10:06:00";"EG11";"TZ48CCW54765";3.1
"ADP0053271";"2021-09-02 18:56:00";"OO01";"QR03XCJ37459";2.8
"ADP5594871";"2021-07-05 19:08:00";"GF00";"WU78BMX13511";1.0
"ADP7034134";"2019-12-13 21:22:00";"MR01";"QH15HWX24570";2.2
"ADQ4192653";"2020-12-05 11:37:00";"EG11";"QU94IGC75528";1.25
"ADQ5787010";"2022-12-02 18:11:00";"AO16";"YL27IFD65117";2.0
"ADQ8330624";"2021-05-09 17:34:00";"OO03";"AY38OQF67603";2.8
"ADR2866743";"2020-12-26 09:49:00";"AO05";"DP11ENT03275";3.1
"ADS2526012";"2020-12-01 01:08:00";"MR03";"XV91YMP27722";2.5
"ADT2717171";"2023-02-08 02:03:00";"KO03";"QW79CHL42244";2.8
"ADU6989770";"2020-02-01 08:29:00";"MR05";"UA13YTK28483";2.8
"ADU7924771";"2023-06-04 18:00:00";"AO15";"DV04FQL29609";3.1
"ADW1061397";"2019-01-09 20:34:00";"KO08";"WY00MLL63827";1.0
"ADW2205957";"2022-05-05 12:45:00";"AO19";"EG95RTB75032";2.8
"ADW3393116";"2021-06-02 07:44:00";"EG04";"TZ48CCW54765";3.1
"ADX9108098";"2021-01-09 10:30:00";"MR03";"KF48RSD79865";2.8
"ADY4852463";"2021-06-06 01:36:00";"KO03";"UO75YNW62238";2.8
"ADY6037368";"2021-08-09 13:22:00";"GF00";"PF04UCA93312";3.1
"ADZ2166627";"2020-10-31 06:06:00";"GF00";"EN26OAB52983";1.25
"AEA4069784";"2020-08-06 22:59:00";"KO08";"WY00MLL63827";1.0
"AEB0526693";"2020-11-26 07:07:00";"GF00";"UF84JOS00561";2.8
"AEB0846604";"2019-09-05 22:00:00";"NE02";"VX68BAR38623";1.5
"AEB1680343";"2019-10-02 08:26:00";"MR01";"IZ65WAT29135";2.0
"AEB6692630";"2022-07-07 03:13:00";"EG07";"PM58XHX45588";2.8
"AEB9334218";"2020-09-06 14:19:00";"NE13";"QP02SYE47964";1.25
"AEC3151425";"2019-12-06 19:31:00";"GF00";"MA30QLI76818";2.5
"AEC4869414";"2020-11-03 00:35:00";"OO01";"JE65QJK64802";2.5
"AEE2057840";"2019-02-11 01:57:00";"MR06";"RR98KQE80731";1.25
"AEE3402588";"2021-08-10 00:56:00";"KO00";"WY00MLL63827";1.0
"AEE3973563";"2020-04-11 07:35:00";"NE16";"QP02SYE47964";2.8
"AEE9956382";"2021-02-06 17:57:00";"AO16";"YL27IFD65117";2.0
"AEF0827370";"2020-07-06 20:43:00";"OO01";"IC95TLY24827";2.0
"AEF3709600";"2021-09-08 04:41:00";"OO03";"NO82BAX82566";1.0
"AEF5603673";"2021-11-08 02:02:00";"EG06";"QU94IGC75528";1.25
"AEF5909659";"2022-03-02 15:16:00";"KO02";"IX01MVL33676";2.5
"AEF5960888";"2020-07-09 04:38:00";"KO00";"HW75BKT77773";2.2
"AEF7471506";"2021-07-09 14:29:00";"OO04";"LC72NRN52084";3.1
"AEG1838733";"2019-12-30 11:25:00";"GF00";"WU78BMX13511";1.0
"AEG2700754";"2020-04-12 11:57:00";"AO02";"OC94ASJ72024";1.0
"AEG7249588";"2019-11-16 11:55:00";"NE06";"VX68BAR38623";1.5
"AEG8557073";"2021-11-06 21:57:00";"MR05";"HW75BKT77773";1.25
"AEH0814952";"2019-10-24 09:30:00";"AO16";"QO68DIC93032";2.8
"AEH6734669";"2022-06-04 15:14:00";"KO09";"WY00MLL63827";1.0
"AEH7427517";"2023-06-04 11:12:00";"MR01";"HE38BQH01623";2.8
"AEI5126674";"2021-03-03 23:35:00";"GF00";"XF28DGK65250";2.0
"AEI7034520";"2020-03-08 05:40:00";"EG03";"CM15YCB60994";2.0
"AEI8341044";"2022-12-09 17:41:00";"NE16";"NO82BAX82566";3.1
"AEI8864129";"2021-10-12 02:10:00";"AO16";"HT62RDI04611";2.8
"AEJ4573654";"2021-07-09 01:37:00";"GF00";"WU78BMX13511";1.0
"AEJ5525955";"2021-05-06 18:08:00";"MR03";"HE38BQH01623";2.8
"AEL2179716";"2021-12-03 12:42:00";"MR08";"SY96JDQ97089";1.5
"AEL3844066";"2019-02-03 04:07:00";"OO04";"HA82SCK64299";2.5
"AEL4649506";"2020-11-27 01:50:00";"OO13";"EE22TMX10817";2.0
"AEL5275520";"2020-10-24 15:45:00";"EG05";"DW44ZOO26361";2.5
"AEL6739702";"2020-09-10 02:35:00";"EG01";"QU94IGC75528";1.25
"AEL7963009";"2021-03-03 23:58:00";"KO05";"QO77TFN61853";2.2
"AEO3537535";"2022-01-02 00:44:00";"GF00";"KW50MJG67260";2.2
"AEO7737516";"2020-11-04 01:26:00";"EG09";"IW53OQE31439";2.8
"AEO9390124";"2021-03-09 05:56:00";"KO00";"JF94VYA88954";2.5
"AEP6235534";"2019-01-05 01:15:00";"AO13";"MX39VOS38645";2.8
"AEQ4134988";"2021-12-04 05:56:00";"KO07";"NZ35XLQ89678";2.8
"AEQ4508779";"2019-12-26 01:01:00";"GF00";"MA30QLI76818";2.5
"AEQ6315401";"2020-06-03 15:47:00";"NE08";"IC95TLY24827";1.5
"AEQ9137493";"2021-05-07 13:51:00";"KO04";"KB55KTM48860";2.5
"AER9326919";"2022-03-01 08:20:00";"MR05";"KF48RSD79865";2.8
"AES2518388";"2020-12-22 22:00:00";"EG08";"TE24LCO18661";1.25
"AES5381844";"2021-06-04 02:46:00";"AO12";"BZ76ROL87339";1.0
"AES9375866";"2020-05-05 03:55:00";"MR05";"EZ65FLV39493";2.8
"AET7237006";"2022-08-05 20:53:00";"OO04";"VJ92OYV94295";2.5
"AEU4926462";"2022-03-07 21:32:00";"AO05";"OC94ASJ72024";1.0
"AEV3361504";"2020-06-02 17:27:00";"AO16";"IW53OQE31439";2.8
"AEW4086817";"2021-04-10 03:51:00";"KO02";"IX01MVL33676";2.5
"AEW6809085";"2020-03-01 11:14:00";"EG11";"TZ48CCW54765";3.1
"AEW7495447";"2021-06-02 00:46:00";"AO12";"IW53OQE31439";2.8
"AEX3244410";"2020-01-02 16:03:00";"OO08";"IC95TLY24827";2.0
"AEY1754990";"2021-04-08 15:10:00";"KO06";"HW75BKT77773";1.5
"AEZ2894113";"2020-05-09 18:38:00";"KO03";"KB55KTM48860";2.5
"AEZ3337784";"2019-11-04 23:35:00";"MR07";"VX68BAR38623";1.5
"AEZ3348808";"2022-09-01 23:08:00";"AO04";"BZ76ROL87339";1.0
"AFA7030315";"2019-12-26 16:04:00";"NE07";"VX68BAR38623";1.5
"AFA7068416";"2019-09-11 03:07:00";"NE10";"FY47TUN40300";1.0
"AFA8293273";"2021-12-07 05:10:00";"MR01";"QN23UHH39091";2.8
"AFA9958842";"2020-10-05 19:25:00";"MR06";"HR53SRO94328";13.0
"AFB0760893";"2019-10-28 04:11:00";"OO04";"QX75YWC61835";2.5
"AFB4723237";"2020-10-30 16:00:00";"AO09";"HT62RDI04611";2.8
"AFB9785795";"2020-11-14 08:52:00";"OO11";"RK48BOP88344";2.8
"AFD9014057";"2022-09-04 04:16:00";"KO06";"RV87TIY76692";2.5
"AFD9447487";"2020-07-05 03:53:00";"GF00";"LM86GYO69819";2.8
"AFF2198973";"2022-09-04 10:38:00";"EG11";"MU06LHX94338";1.5
"AFF3250908";"2021-07-06 20:02:00";"GF00";"IO09FGE68100";2.8
"AFF6499367";"2020-12-10 15:56:00";"KO09";"KB55KTM48860";2.5
"AFF7008469";"2020-08-02 13:32:00";"KO00";"TZ48CCW54765";1.5
"AFF9395733";"2019-08-05 06:23:00";"AO18";"PE73VJU23485";2.8
"AFG0786199";"2021-09-03 12:21:00";"AO13";"SY96JDQ97089";2.8
"AFG0898741";"2019-11-04 15:10:00";"AO08";"KB55KTM48860";2.8
"AFH2678774";"2020-12-07 00:14:00";"EG00";"IW53OQE31439";2.8
"AFI8384216";"2020-06-02 21:45:00";"OO01";"BK77KNV91142";2.8
"AFI9605104";"2022-03-07 12:19:00";"OO07";"EM54HQI58682";2.8
"AFJ7034076";"2022-07-03 16:31:00";"NE13";"FY47TUN40300";1.0
"AFJ9433391";"2021-06-03 07:27:00";"AO19";"OC94ASJ72024";1.0
"AFK5703956";"2019-06-12 23:51:00";"NE03";"PM58XHX45588";1.5
"AFK9955474";"2021-05-03 11:56:00";"AO00";"SU00RDZ36214";2.8
"AFL3533583";"2021-05-02 18:41:00";"GF00";"JE65QJK64802";2.8
"AFL6080190";"2021-01-06 09:09:00";"AO03";"BM25PHF40639";2.8
"AFL8421230";"2019-07-07 12:15:00";"EG08";"TE24LCO18661";1.25
"AFL9168668";"2020-06-01 23:17:00";"MR01";"BI87HYL81972";1.0
"AFM1488467";"2021-08-07 18:55:00";"OO07";"EM54HQI58682";2.8
"AFM4042069";"2020-07-08 17:35:00";"EG09";"EC02LZC49528";2.8
"AFM9926689";"2020-11-08 06:16:00";"MR01";"HE38BQH01623";2.8
"AFN4960694";"2020-08-01 05:49:00";"NE14";"PM58XHX45588";1.5
"AFO4601536";"2019-11-19 01:23:00";"GF00";"WU78BMX13511";1.0
"AFO8377122";"2020-10-04 10:18:00";"NE13";"IO09FGE68100";1.25
"AFP1043997";"2020-06-08 23:31:00";"OO01";"RK48BOP88344";2.8
"AFP4080274";"2019-12-26 11:31:00";"AO13";"OC94ASJ72024";1.0
"AFP5711855";"2020-01-11 01:21:00";"EG04";"LC72NRN52084";2.5
"AFP7212791";"2021-03-07 03:29:00";"NE12";"RR73DWB65452";2.2
"AFP9440261";"2021-01-04 20:25:00";"KO02";"ED51EWW52190";2.8
"AFQ2695992";"2019-10-10 20:02:00";"KO08";"ED51EWW52190";2.8
"AFQ9458416";"2021-08-08 19:39:00";"MR02";"KF48RSD79865";2.8
"AFR8402464";"2019-12-24 14:52:00";"EG12";"RV87TIY76692";2.8
"AFS1539761";"2020-06-03 12:16:00";"OO00";"DW44ZOO26361";1.5
"AFS6678844";"2021-06-09 11:43:00";"OO04";"QR03XCJ37459";2.8
"AFT6448986";"2022-11-02 16:19:00";"AO02";"SU00RDZ36214";2.8
"AFT8018563";"2021-03-06 05:42:00";"OO01";"XV40HUQ04740";1.0
"AFT8509937";"2019-11-17 11:29:00";"AO14";"YL27IFD65117";2.0
"AFU0546042";"2022-05-01 21:56:00";"OO01";"WG11QVY31890";1.0
"AFU1492502";"2020-12-11 19:00:00";"MR05";"TZ48CCW54765";2.0
"AFU3095760";"2021-01-08 10:39:00";"OO02";"EM54HQI58682";2.8
"AFU4906904";"2020-01-05 20:14:00";"MR08";"EN26OAB52983";1.0
"AFU8256950";"2021-07-09 21:30:00";"NE14";"OY94SZK34436";2.5
"AFV2793928";"2021-03-08 13:02:00";"MR03";"QO68DIC93032";2.5
"AFV6487096";"2019-12-10 10:03:00";"EG10";"EZ65FLV39493";1.0
"AFW0055210";"2023-01-06 01:06:00";"EG09";"QN23UHH39091";2.0
"AFW2282232";"2020-05-03 17:30:00";"KO01";"IX01MVL33676";2.5
"AFW2589366";"2022-01-05 03:47:00";"GF00";"WU78BMX13511";1.0
"AFW2606149";"2019-11-18 03:41:00";"EG03";"XE59BZM26378";2.5
"AFW2876916";"2020-05-09 22:44:00";"GF00";"IO09FGE68100";2.8
"AFW6540232";"2020-01-02 20:25:00";"OO02";"ED51EWW52190";3.1
"AFW9371944";"2020-02-02 02:53:00";"NE14";"IN99SEN20660";1.5
"AFX0724696";"2019-12-30 03:38:00";"EG03";"IN99SEN20660";2.8
"AFX6077497";"2022-04-07 16:47:00";"KO05";"IX01MVL33676";2.5
"AFY1483077";"2020-12-12 08:36:00";"AO09";"MX39VOS38645";2.8
"AFY3280654";"2021-10-08 04:57:00";"KO00";"IX01MVL33676";2.5
"AFY7519842";"2019-11-02 09:56:00";"KO08";"WY00MLL63827";1.0
"AFY8125396";"2023-05-07 05:06:00";"OO08";"LC72NRN52084";3.1
"AGA1526416";"2019-12-05 11:55:00";"OO04";"JF94VYA88954";2.8
"AGA9048649";"2022-06-02 23:48:00";"EG07";"MU06LHX94338";1.5
"AGD0111372";"2022-05-09 21:31:00";"EG06";"WU78BMX13511";3.1
"AGG1095286";"2019-02-06 06:06:00";"EG04";"CM15YCB60994";2.0
"AGG1473590";"2020-10-20 22:39:00";"KO00";"MQ65WJJ60020";1.25
"AGG5240186";"2022-04-05 03:45:00";"AO17";"YL27IFD65117";2.0
"AGG7305789";"2021-05-05 01:58:00";"EG04";"OC94ASJ72024";2.8
"AGG8192729";"2021-09-08 10:54:00";"MR06";"QN23UHH39091";2.8
